start_date,end_date,program,title,birth_year,gender,weekly_tv_viewing,prime_time,prime_time_viewing,binge_watch,social_viewing,tv_own,tv_view_device,genres_comedy,genres_drama,genres_reality,genres_competition,genres_news,genres_other,genres_other_oe,interest,uniqueness,relevance,zip,hispanic,ethnicity,ethnicity_oe,education,married,living_situation,separation_state,prev_marriage,parent,hh_structure,hhi,video_view_time,age,demo,generation,race
2018-08-30T13:26:06Z,2018-08-30T13:29:50Z,3,SINGLE PARENTS,1969,Men,0-2,Watch PT,Recorded,Binged,Alone,Has TV,TV,1,1,NA,NA,1,NA,NA,0,0,-1,90403,2,1,NA,Grad,1,1,NA,NA,2,3,Ref,138.25,49,45-54,Xer,White (Non-Hispanic)
2018-08-30T13:30:56Z,2018-08-30T13:34:18Z,5,GRAND HOTEL,1969,Men,0-2,No PT,NA,Never Binged,Both,No TV,Other,1,NA,NA,NA,NA,NA,NA,-1,-1,-2,90403,2,1,NA,Grad,1,1,NA,NA,2,3,Ref,127.925,49,45-54,Xer,White (Non-Hispanic)
2018-08-30T13:36:28Z,2018-08-30T13:40:39Z,22,I FEEL BAD,1958,Women,10+,Watch PT,Recorded,Binged,Both,Has TV,TV,1,1,1,NA,1,NA,NA,0,1,1,92253,2,1,NA,Grad,1,1,NA,NA,2,2,100-149K,141.038,60,55+,Boomer,White (Non-Hispanic)
2018-08-30T13:36:57Z,2018-08-30T13:41:02Z,6,THE FIX,1972,Men,5-Mar,Watch PT,Live,Binged,Alone,Has TV,Other,1,NA,1,NA,1,NA,NA,2,2,2,11507,2,3,NA,Some HS,2,NA,NA,2,2,1,> 200K,173.971,46,45-54,Xer,Other
2018-08-30T13:37:13Z,2018-08-30T13:41:19Z,3,SINGLE PARENTS,1957,Women,5-Mar,Watch PT,Live,Binged,Both,Has TV,TV,NA,1,NA,NA,NA,NA,NA,-2,0,-2,14225,2,1,NA,Some Grad,1,1,NA,NA,2,2,Ref,163.202,61,55+,Boomer,White (Non-Hispanic)
2018-08-30T13:36:29Z,2018-08-30T13:41:22Z,17,PROVEN INNOCENT,1971,Women,10+,Watch PT,Recorded,Binged,With Others,Has TV,TV,1,1,NA,NA,1,NA,NA,0,2,1,30294,2,1,NA,HS,1,1,NA,NA,2,2,20-49K,177.155,47,45-54,Xer,White (Non-Hispanic)
2018-08-30T13:37:05Z,2018-08-30T13:41:26Z,19,REL,1982,Women,0-2,Watch PT,Live,Binged,Alone,Has TV,TV,NA,NA,NA,1,1,NA,NA,2,2,2,54656,2,3,NA,HS,1,1,NA,NA,2,2,< 20K,170.495,36,35-44,Xer,Other
2018-08-30T13:36:48Z,2018-08-30T13:41:33Z,1,THE ROOKIE,1992,Women,5-Mar,Watch PT,Recorded,Binged,Alone,Has TV,Other,1,1,NA,1,NA,NA,NA,2,2,0,30533,2,1,NA,HS,1,1,NA,NA,2,2,20-49K,170.25,26,25-34,Millennial,White (Non-Hispanic)
2018-08-30T13:37:23Z,2018-08-30T13:41:49Z,20,MANIFEST,1994,Women,5-Mar,Watch PT,Live,Binged,Both,Has TV,TV,1,1,NA,NA,NA,NA,NA,-1,0,-1,6105,1,1,NA,Some Grad,2,NA,NA,2,2,2,< 20K,153.526,24,18-24,Millennial,Hispanic
2018-08-30T13:36:17Z,2018-08-30T13:42:06Z,2,A MILLION LITTLE THINGS,1996,NB,9-Jun,Watch PT,Recorded,Binged,With Others,Has TV,TV,NA,NA,1,1,NA,NA,NA,0,1,2,2341,2,1,NA,College,2,NA,NA,2,2,4,50-99K,223.318,22,18-24,Millennial,White (Non-Hispanic)
2018-08-30T13:36:17Z,2018-08-30T13:42:06Z,9,MAGNUM P.I.,1996,Women,10+,Watch PT,Live,Binged,Both,Has TV,TV,1,1,1,NA,NA,NA,NA,0,1,-2,71603,2,2,NA,Some College,2,NA,NA,1,1,2,20-49K,249.179,22,18-24,Millennial,Black (Non-Hispanic)
2018-08-30T13:37:47Z,2018-08-30T13:42:28Z,7,THE KIDS ARE ALRIGHT,1971,Men,9-Jun,Watch PT,Live,Never Binged,Both,Has TV,TV,1,1,NA,NA,1,NA,NA,0,0,1,7470,2,3,NA,Grad,1,1,NA,NA,1,2,> 200K,182.657,47,45-54,Xer,Other
2018-08-30T13:38:14Z,2018-08-30T13:42:38Z,19,REL,1985,Men,10+,Watch PT,Recorded,Never Binged,Both,Has TV,TV,1,NA,NA,NA,1,NA,NA,-1,1,-2,33781,2,1,NA,College,2,NA,NA,2,2,4,Ref,161.238,33,25-34,Millennial,White (Non-Hispanic)
2018-08-30T13:37:26Z,2018-08-30T13:42:59Z,14,CHARMED,1973,Women,5-Mar,No PT,NA,Binged,With Others,Has TV,TV,NA,1,NA,NA,NA,NA,NA,2,1,2,40031,2,1,NA,Grad,1,1,NA,NA,2,2,50-99K,245.16,45,35-44,Xer,White (Non-Hispanic)
2018-08-30T13:37:15Z,2018-08-30T13:43:05Z,18,THE COOL KIDS,1949,Men,10+,Watch PT,Live,Never Binged,Both,Has TV,TV,NA,NA,NA,NA,NA,1,drama,1,1,0,60142,2,1,NA,Grad,1,1,NA,NA,2,2,50-99K,164.07,69,55+,Boomer,White (Non-Hispanic)
2018-08-30T13:37:27Z,2018-08-30T13:43:06Z,18,THE COOL KIDS,1948,Women,9-Jun,Watch PT,Recorded,Binged,With Others,Has TV,TV,NA,1,NA,NA,NA,NA,NA,2,2,2,69341,2,1,NA,Some College,1,1,NA,NA,2,2,50-99K,177.885,70,55+,Boomer,White (Non-Hispanic)
2018-08-30T13:38:25Z,2018-08-30T13:43:15Z,3,SINGLE PARENTS,1990,Women,5-Mar,Watch PT,Recorded,Binged,Both,Has TV,TV,1,NA,NA,1,NA,NA,NA,1,1,2,98665,2,1,NA,College,1,1,NA,NA,1,2,50-99K,175.908,28,25-34,Millennial,White (Non-Hispanic)
2018-08-30T13:37:09Z,2018-08-30T13:43:15Z,16,THE PASSAGE,1967,Women,10+,Watch PT,Live,Never Binged,Both,Has TV,TV,1,NA,NA,NA,1,NA,NA,-1,1,-1,67601,2,1,NA,College,1,1,NA,NA,2,3,50-99K,220.067,51,45-54,Xer,White (Non-Hispanic)
2018-08-30T13:37:06Z,2018-08-30T13:43:23Z,4,WHISKEY CAVALIER,1960,Women,5-Mar,Watch PT,Live,Never Binged,With Others,Has TV,TV,1,NA,NA,NA,NA,NA,NA,0,1,0,93534,2,1,NA,Some College,1,1,NA,NA,2,2,50-99K,267.117,58,55+,Boomer,White (Non-Hispanic)
2018-08-30T13:38:42Z,2018-08-30T13:43:31Z,18,THE COOL KIDS,1977,Women,10+,Watch PT,Live,Binged,Alone,Has TV,TV,NA,1,NA,1,1,NA,NA,0,1,1,10032,2,3,NA,College,2,NA,NA,2,2,1,50-99K,153.68,41,35-44,Xer,Other
2018-08-30T13:37:10Z,2018-08-30T13:43:32Z,15,ALL AMERICAN,1961,Women,10+,Watch PT,Live,Binged,Both,Has TV,TV,1,1,NA,NA,1,NA,NA,1,1,1,84010,2,1,NA,Grad,1,1,NA,NA,2,5,50-99K,269.265,57,55+,Boomer,White (Non-Hispanic)
2018-08-30T13:38:08Z,2018-08-30T13:43:41Z,6,THE FIX,1948,Women,9-Jun,Watch PT,Live,Never Binged,Alone,Has TV,TV,1,1,NA,NA,NA,NA,NA,0,1,-2,6468,2,1,NA,Grad,1,1,NA,NA,2,2,Ref,172.287,70,55+,Boomer,White (Non-Hispanic)
