title,IMDb rating,rotten tomatoes,Season 2
THE FIX,6.5,56,no
SINGLE PARENTS,7.1,75,yes
THE ROOKIE,8.1,68,yes
REL,4.2,44,no
GRAND HOTEL,7,74,no
PROVEN INNOCENT,6.5,28,no
THE KIDS ARE ALRIGHT,7.8,82,no
THE PASSAGE,7.3,62,no
I FEEL BAD,5.9,31,no
CHARMED,4.6,6.7,yes
MANIFEST,7.2,57,yes
THE COOL KIDS,7,65,no
A MILLION LITTLE THINGS,7.9,53,yes
THE NEIGHBORHOOD,6.3,24,yes
MAGNUM P.I.,5.8,57,yes
ALL AMERICAN,7.7,96,yes
GOD FRIENDED ME,6.9,59,yes
NEW AMSTERDAM,8.1,34,yes
HAPPY TOGETHER,5.8,53,no
WHISKEY CAVALIER,7.1,78,no
FBI,6.8,63,yes
