movie,gross
Lagaan: Once Upon a Time in India,909043
Ken Park,
Zus & zo,49468
The Twilight Samurai,559765
The Room,549602
Unthinkable,
"Angus, Thongs and Perfect Snogging",
Death Proof,
Hachi: A Dog's Tale,
Revanche,258388
Outside the Law,96933
Secret in Their Eyes,20180155
The Great Wall,45540830
Mudbound,
Leviathan,10902800
Omar,356000
Trumbo,7857741
The Autopsy of Jane Doe,10474
Elle,2341534
Land of Mine,435266
The Girl with All the Gifts,
Split,138291365
Jim: The James Foley Story,
