year,movie,certificate,duration,genre_1,genre_2,genre_3,rate,metascore,votes,gross,user_reviews,critic_reviews,release_date.month,release_date.day-of-month,release_date.day-of-week,Award
2000,Traffic,R,147,Crime,Drama,Thriller,7.5999999,86,173632,124110000,871,220,1,5,5,Director
2000,Traffic,R,147,Crime,Drama,Thriller,7.5999999,86,173632,124110000,871,220,1,5,5,S_Actor
2000,Traffic,R,147,Crime,Drama,Thriller,7.5999999,86,173632,124110000,871,220,1,5,5,AdaScreen
2000,Pollock,R,122,Biography,Drama,No other genre,7,77,23585,8600000,148,114,3,23,5,S_Actress
2000,Erin Brockovich,R,131,Biography,Drama,No other genre,7.30000019,73,139323,125550000,500,166,3,17,5,Actress
2000,Gladiator,R,155,Action,Adventure,Drama,8.5,64,1024040,187670000,2380,265,5,5,5,Picture
2000,Gladiator,R,155,Action,Adventure,Drama,8.5,64,1024040,187670000,2380,265,5,5,5,Actor
2000,Almost Famous,R,122,Adventure,Comedy,Drama,7.9000001,90,212643,32520000,826,146,9,22,5,OriScreen
2001,A Beautiful Mind,PG-13,135,Biography,Drama,No other genre,8.19999981,72,640458,170710000,1181,204,1,4,5,Picture
2001,A Beautiful Mind,PG-13,135,Biography,Drama,No other genre,8.19999981,72,640458,170710000,1181,204,1,4,5,Director
2001,A Beautiful Mind,PG-13,135,Biography,Drama,No other genre,8.19999981,72,640458,170710000,1181,204,1,4,5,S_Actress
2001,A Beautiful Mind,PG-13,135,Biography,Drama,No other genre,8.19999981,72,640458,170710000,1181,204,1,4,5,AdaScreen
2001,Gosford Park,R,133,Comedy,Drama,Mystery,7.30000019,90,66638,41300105,633,186,1,18,5,OriScreen
2001,Iris,R,91,Biography,Drama,Romance,7.0999999,76,15104,1290000,145,99,3,29,5,S_Actor
2001,Monster's Ball,R,111,Drama,Romance,No other genre,7.0999999,69,72725,31250000,523,151,3,1,5,Actress
2001,Training Day,R,122,Crime,Drama,Thriller,7.69999981,69,316040,76260000,638,109,10,5,5,Actor
2002,Chicago,PG-13,113,Comedy,Crime,Musical,7.19999981,82,176942,170680000,1019,222,1,24,5,Picture
2002,Chicago,PG-13,113,Comedy,Crime,Musical,7.19999981,82,176942,170680000,1019,222,1,24,5,S_Actress
2002,Adaptation.,R,114,Comedy,Drama,No other genre,7.69999981,83,147224,22250000,712,242,2,14,5,S_Actor
2002,The Hours,PG-13,114,Drama,Romance,No other genre,7.5999999,81,104612,41600000,660,173,2,14,5,Actress
2002,Talk to Her,R,112,Drama,Mystery,Romance,8,86,88643,9284265,255,142,2,14,5,OriScreen
2002,The Pianist,R,150,Biography,Drama,War,8.5,85,523908,32519322,772,192,3,28,5,Director
2002,The Pianist,R,150,Biography,Drama,War,8.5,85,523908,32519322,772,192,3,28,5,Actor
2002,The Pianist,R,150,Biography,Drama,War,8.5,85,523908,32519322,772,192,3,28,5,AdaScreen
2003,Monster,R,109,Biography,Crime,Drama,7.30000019,74,108623,34470000,538,184,1,30,5,Actress
2003,Mystic River,R,138,Crime,Drama,Mystery,8,84,347851,90140000,938,230,10,15,3,Actor
2003,Mystic River,R,138,Crime,Drama,Mystery,8,84,347851,90140000,938,230,10,15,3,S_Actor
2003,Lost in Translation,R,101,Drama,No other genre,No other genre,7.80000019,89,330944,44570000,1858,263,10,3,5,OriScreen
2003,Cold Mountain,R,154,Adventure,Drama,History,7.19999981,73,120878,95630000,678,196,12,25,4,S_Actress
2003,The Lord of the Rings: The Return of the King,PG-13,201,Adventure,Drama,Fantasy,8.89999962,94,1264277,377020000,3213,325,12,17,3,Picture
2003,The Lord of the Rings: The Return of the King,PG-13,201,Adventure,Drama,Fantasy,8.89999962,94,1264277,377020000,3213,325,12,17,3,Director
2003,The Lord of the Rings: The Return of the King,PG-13,201,Adventure,Drama,Fantasy,8.89999962,94,1264277,377020000,3213,325,12,17,3,AdaScreen
2004,Sideways,R,126,Comedy,Drama,Romance,7.5,94,153557,71502303,841,283,1,21,5,AdaScreen
2004,Million Dollar Baby,PG-13,132,Drama,Sport,No other genre,8.10000038,86,501680,100420000,1113,267,1,28,5,Picture
2004,Million Dollar Baby,PG-13,132,Drama,Sport,No other genre,8.10000038,86,501680,100420000,1113,267,1,28,5,Director
2004,Million Dollar Baby,PG-13,132,Drama,Sport,No other genre,8.10000038,86,501680,100420000,1113,267,1,28,5,Actress
2004,Million Dollar Baby,PG-13,132,Drama,Sport,No other genre,8.10000038,86,501680,100420000,1113,267,1,28,5,S_Actor
2004,Eternal Sunshine of the Spotless Mind,R,108,Drama,Fantasy,Romance,8.30000019,89,696228,34130000,1535,277,3,19,5,OriScreen
2004,Crash,R,112,Crime,Drama,Thriller,7.80000019,69,368775,54560000,1627,284,5,6,5,Picture
2004,Crash,R,112,Crime,Drama,Thriller,7.80000019,69,368775,54560000,1627,284,5,6,5,OriScreen
2004,Ray,PG-13,152,Biography,Drama,Music,7.69999981,73,113740,75305995,436,207,10,29,5,Actor
2004,The Aviator,PG-13,170,Biography,Drama,No other genre,7.5,77,272977,102610000,806,266,12,25,6,S_Actress
2005,Brokeback Mountain,R,134,Drama,Romance,No other genre,7.69999981,87,266587,83030000,2263,354,1,13,5,Director
2005,Brokeback Mountain,R,134,Drama,Romance,No other genre,7.69999981,87,266587,83030000,2263,354,1,13,5,AdaScreen
2005,Capote,R,114,Biography,Crime,Drama,7.4000001,88,103895,28747570,416,271,2,3,5,Actor
2005,The Constant Gardener,R,129,Drama,Mystery,Romance,7.5,82,114432,33570000,567,227,8,31,3,S_Actress
2005,Walk the Line,PG-13,136,Biography,Drama,Music,7.9000001,72,192695,119520000,815,288,11,18,5,Actress
2005,Syriana,R,128,Drama,Thriller,No other genre,7,76,112008,50820000,627,356,12,9,5,S_Actor
2006,The Last King of Scotland,R,123,Biography,Drama,History,7.69999981,74,149442,17605861,356,251,1,19,5,Actor
2006,Little Miss Sunshine,R,101,Comedy,Drama,No other genre,7.80000019,80,366534,59890000,890,239,8,18,5,S_Actor
2006,Little Miss Sunshine,R,101,Comedy,Drama,No other genre,7.80000019,80,366534,59890000,890,239,8,18,5,OriScreen
2006,The Departed,R,151,Crime,Drama,Thriller,8.5,85,910945,132370000,2074,353,10,6,5,Picture
2006,The Departed,R,151,Crime,Drama,Thriller,8.5,85,910945,132370000,2074,353,10,6,5,Director
2006,The Departed,R,151,Crime,Drama,Thriller,8.5,85,910945,132370000,2074,353,10,6,5,AdaScreen
2006,The Queen,PG-13,103,Biography,Drama,No other genre,7.30000019,NA,87829,56437947,426,278,11,17,5,Actress
2006,Dreamgirls,PG-13,130,Drama,Music,Musical,6.5,76,57655,103338338,596,238,12,25,1,S_Actress
2007,There Will Be Blood,R,158,Drama,History,No other genre,8.10000038,92,389582,40220000,1124,397,1,25,5,Actor
2007,La Vie en Rose,PG-13,140,Biography,Drama,Music,7.5999999,66,68045,10299782,221,210,7,20,5,Actress
2007,Michael Clayton,R,119,Crime,Drama,Thriller,7.30000019,82,136587,49024969,367,298,10,12,5,S_Actress
2007,No Country for Old Men,R,122,Crime,Drama,Thriller,8.10000038,91,640561,74270000,1541,488,11,21,3,Picture
2007,No Country for Old Men,R,122,Crime,Drama,Thriller,8.10000038,91,640561,74270000,1541,488,11,21,3,Director
2007,No Country for Old Men,R,122,Crime,Drama,Thriller,8.10000038,91,640561,74270000,1541,488,11,21,3,S_Actor
2007,No Country for Old Men,R,122,Crime,Drama,Thriller,8.10000038,91,640561,74270000,1541,488,11,21,3,AdaScreen
2007,Juno,PG-13,96,Comedy,Drama,No other genre,7.5,81,424948,143490000,882,387,12,25,2,OriScreen
